Name,Product,Brand,Shade,R,G,B,Price,Size,Formula,Ingredients,Description,Image URL
SilkRadiance Foundation,Foundation,Glamour Glow,Honey Glow - Medium with warm undertones,220,180,130,49,30.0 ml,Liquid,Water, Cyclopentasiloxane, Glycerin, Dimethicone, Hyaluronic Acid,"A liquid foundation that provides a silky smooth finish with long-lasting hydration and coverage.",https://image.pollinations.ai/prompt/Glamour%20Glow,%20Foundation,%20Honey%20Glow,%2049,%20Liquid
SilkRadiance Foundation,Foundation,Glamour Glow,Deep Cocoa - Dark with neutral undertones,90,60,50,49,30.0 ml,Liquid,Water, Cyclopentasiloxane, Glycerin, Dimethicone, Hyaluronic Acid,"A liquid foundation that provides a silky smooth finish with long-lasting hydration and coverage.",https://image.pollinations.ai/prompt/Glamour%20Glow,%20Foundation,%20Deep%20Cocoa,%2049,%20Liquid
GlowFusion Foundation,Foundation,Radiant Charm,Ivory Light - Light with neutral undertones,255,240,220,38,30.0 ml,Powder,Talc, Mica, Silica, Argan Oil, Vitamin C,"A powder foundation with a glowing finish that provides buildable coverage and a luminous look.",https://image.pollinations.ai/prompt/Radiant%20Charm,%20Foundation,%20Ivory%20Light,%2038,%20Powder
GlowFusion Foundation,Foundation,Radiant Charm,Golden Sand - Medium with warm undertones,220,180,120,38,30.0 ml,Powder,Talc, Mica, Silica, Argan Oil, Vitamin C,"A powder foundation with a glowing finish that provides buildable coverage and a luminous look.",https://image.pollinations.ai/prompt/Radiant%20Charm,%20Foundation,%20Golden%20Sand,%2038,%20Powder
GlowFusion Foundation,Foundation,Radiant Charm,Chocolate Velvet - Dark with rich undertones,100,60,40,38,30.0 ml,Powder,Talc, Mica, Silica, Argan Oil, Vitamin C,"A powder foundation with a glowing finish that provides buildable coverage and a luminous look.",https://image.pollinations.ai/prompt/Radiant%20Charm,%20Foundation,%20Chocolate%20Velvet,%2038,%20Powder
PetalKiss Lipstick,Lipstick,Blush Beauty,Soft Pink - Pink with cool undertones,255,182,193,25,4.0 g,Cream,Castor Oil, Beeswax, Candelilla Wax, Shea Butter, Vitamin E,"A creamy lipstick that provides long-lasting color and hydration, perfect for everyday wear.",https://image.pollinations.ai/prompt/Blush%20Beauty,%20Lipstick,%20Soft%20Pink,%2025,%20Cream
PetalKiss Lipstick,Lipstick,Blush Beauty,Ruby Red - Red with warm undertones,224,17,95,25,4.0 g,Cream,Castor Oil, Beeswax, Candelilla Wax, Shea Butter, Vitamin E,"A creamy lipstick that provides long-lasting color and hydration, perfect for everyday wear.",https://image.pollinations.ai/prompt/Blush%20Beauty,%20Lipstick,%20Ruby%20Red,%2025,%20Cream
PetalKiss Lipstick,Lipstick,Blush Beauty,Berry Burst - Purple with rich undertones,128,0,128,25,4.0 g,Cream,Castor Oil, Beeswax, Candelilla Wax, Shea Butter, Vitamin E,"A creamy lipstick that provides long-lasting color and hydration, perfect for everyday wear.",https://image.pollinations.ai/prompt/Blush%20Beauty,%20Lipstick,%20Berry%20Burst,%2025,%20Cream
VelvetLuxe Lipstick,Lipstick,Luxury Lips,Peony Pink - Pink with neutral undertones,255,192,203,29,3.5 g,Cream,Coconut Oil, Carnauba Wax, Jojoba Oil, Vitamin C, Hyaluronic Acid,"A luxurious cream lipstick that offers intense color payoff with a smooth, velvety finish.",https://image.pollinations.ai/prompt/Luxury%20Lips,%20Lipstick,%20Peony%20Pink,%2029,%20Cream
VelvetLuxe Lipstick,Lipstick,Luxury Lips,Scarlet Silk - Red with cool undertones,227,38,54,29,3.5 g,Cream,Coconut Oil, Carnauba Wax, Jojoba Oil, Vitamin C, Hyaluronic Acid,"A luxurious cream lipstick that offers intense color payoff with a smooth, velvety finish.",https://image.pollinations.ai/prompt/Luxury%20Lips,%20Lipstick,%20Scarlet%20Silk,%2029,%20Cream
VelvetLuxe Lipstick,Lipstick,Luxury Lips,Plum Passion - Purple with rich undertones,142,69,133,29,3.5 g,Cream,Coconut Oil, Carnauba Wax, Jojoba Oil, Vitamin C, Hyaluronic Acid,"A luxurious cream lipstick that offers intense color payoff with a smooth, velvety finish.",https://image.pollinations.ai/prompt/Luxury%20Lips,%20Lipstick,%20Plum%20Passion,%2029,%20Cream
EcoGlam Lipstick,Lipstick,Nature's Charm,Rose Petal - Pink with warm undertones,255,192,203,22,4.0 g,Cream,Beeswax, Coconut Oil, Shea Butter, Vitamin E, Aloe Vera,"A natural cream lipstick made with eco-friendly ingredients, providing vibrant color and nourishment.",https://image.pollinations.ai/prompt/Nature's%20Charm,%20Lipstick,%20Rose%20Petal,%2022,%20Cream
EcoGlam Lipstick,Lipstick,Nature's Charm,Cherry Red - Red with neutral undertones,165,42,42,22,4.0 g,Cream,Beeswax, Coconut Oil, Shea Butter, Vitamin E, Aloe Vera,"A natural cream lipstick made with eco-friendly ingredients, providing vibrant color and nourishment.",https://image.pollinations.ai/prompt/Nature's%20Charm,%20Lipstick,%20Cherry%20Red,%2022,%20Cream
EcoGlam Lipstick,Lipstick,Nature's Charm,Grape Bliss - Purple with cool undertones,128,0,128,22,4.0 g,Cream,Beeswax, Coconut Oil, Shea Butter, Vitamin E, Aloe Vera,"A natural cream lipstick made with eco-friendly ingredients, providing vibrant color and nourishment.",https://image.pollinations.ai/prompt/Nature's%20Charm,%20Lipstick,%20Grape%20Bliss,%2022,%20Cream
LiquidSatin Lipstick,Lipstick,Urban Chic,Carnation Pink - Pink with bright undertones,255,182,193,27,5.0 ml,Liquid,Isododecane, Dimethicone, Hydrogenated Polyisobutene, Avocado Oil, Vitamin A,"A liquid lipstick with a satin finish that provides full coverage and long-lasting wear.",https://image.pollinations.ai/prompt/Urban%20Chic,%20Lipstick,%20Carnation%20Pink,%2027,%20Liquid
LiquidSatin Lipstick,Lipstick,Urban Chic,Crimson Velvet - Red with deep undertones,220,20,60,27,5.0 ml,Liquid,Isododecane, Dimethicone, Hydrogenated Polyisobutene, Avocado Oil, Vitamin A,"A liquid lipstick with a satin finish that provides full coverage and long-lasting wear.",https://image.pollinations.ai/prompt/Urban%20Chic,%20Lipstick,%20Crimson%20Velvet,%2027,%20Liquid
LiquidSatin Lipstick,Lipstick,Urban Chic,Orchid Dream - Purple with bold undertones,186,85,211,27,5.0 ml,Liquid,Isododecane, Dimethicone, Hydrogenated Polyisobutene, Avocado Oil, Vitamin A,"A liquid lipstick with a satin finish that provides full coverage and long-lasting wear.",https://image.pollinations.ai/prompt/Urban%20Chic,%20Lipstick,%20Orchid%20Dream,%2027,%20Liquid
MatteMystique Lipstick,Lipstick,Enchanté,Blush Pink - Pink with soft undertones,255,182,193,24,3.0 g,Cream,Kaolin, Beeswax, Vitamin E, Shea Butter, Jojoba Oil,"A matte cream lipstick that delivers high-pigment color with a comfortable, non-drying finish.",https://image.pollinations.ai/prompt/Enchanté,%20Lipstick,%20Blush%20Pink,%2024,%20Cream
MatteMystique Lipstick,Lipstick,Enchanté,Fiery Red - Red with bold undertones,255,0,0,24,3.0 g,Cream,Kaolin, Beeswax, Vitamin E, Shea Butter, Jojoba Oil,"A matte cream lipstick that delivers high-pigment color with a comfortable, non-drying finish.",https://image.pollinations.ai/prompt/Enchanté,%20Lipstick,%20Fiery%20Red,%2024,%20Cream
MatteMystique Lipstick,Lipstick,Enchanté,Violet Spell - Purple with mystical undertones,148,0,211,24,3.0 g,Cream,Kaolin, Beeswax, Vitamin E, Shea Butter, Jojoba Oil,"A matte cream lipstick that delivers high-pigment color with a comfortable, non-drying finish.",https://image.pollinations.ai/prompt/Enchanté,%20Lipstick,%20Violet%20Spell,%2024,%20Cream
